,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
86309,640,france,female,24.0,8,0.0,2,1.0,1.0,77879.63,0
52399,687,spain,male,38.0,2,0.0,2,1.0,1.0,60721.4,0
83456,711,france,male,38.0,3,139859.55,1,1.0,0.0,158059.95,0
9275,628,france,female,27.0,8,0.0,2,1.0,0.0,85890.72,0
93429,550,france,male,31.0,5,142200.19,2,1.0,1.0,122221.71,0
91564,664,france,female,58.0,9,0.0,2,1.0,1.0,176743.51,0
13377,648,germany,female,42.0,3,131259.59,1,1.0,0.0,103980.5,0
20782,719,spain,female,39.0,8,0.0,1,1.0,0.0,83478.12,0
73995,637,france,male,41.0,2,0.0,2,0.0,1.0,53784.22,0
48266,598,france,male,29.0,3,0.0,1,1.0,0.0,81258.25,0
100358,671,germany,male,51.0,3,96891.46,1,1.0,1.0,176403.33,0
24266,633,france,male,40.0,9,127864.5,1,1.0,1.0,50299.14,0
88465,685,france,male,44.0,6,0.0,2,1.0,1.0,182960.46,0
79474,735,france,male,33.0,7,91835.16,1,0.0,0.0,95421.0,0
5505,663,france,female,47.0,3,0.0,1,1.0,0.0,17802.42,0
30655,850,france,male,36.0,8,0.0,2,0.0,1.0,175853.64,0
69224,767,france,male,32.0,1,0.0,1,1.0,0.0,147853.98,0
23443,741,germany,male,30.0,7,122265.2,2,1.0,0.0,115022.02,0
52594,785,spain,male,25.0,4,141859.12,1,0.0,1.0,181224.56,0
18170,649,france,male,62.0,3,94464.81,1,1.0,0.0,189430.86,0
60021,616,france,male,30.0,9,0.0,2,1.0,1.0,151648.66,0
62363,541,france,male,25.0,3,0.0,2,0.0,1.0,124749.08,0
4156,667,germany,male,37.0,1,127545.94,2,1.0,0.0,128892.66,0
2792,726,germany,male,39.0,9,124547.13,1,1.0,1.0,141872.05,0
100930,524,france,female,43.0,5,0.0,2,1.0,0.0,130541.1,0
78715,699,france,female,31.0,6,0.0,2,0.0,0.0,125083.67,0
6860,765,spain,male,32.0,7,131698.57,1,0.0,1.0,79259.77,0
19653,650,france,male,67.0,3,0.0,2,0.0,1.0,133693.09,0
102853,639,france,female,29.0,1,0.0,1,1.0,1.0,138380.17,0
113707,829,france,male,25.0,1,0.0,1,1.0,0.0,158882.89,0
71573,757,france,male,37.0,4,88814.4,1,0.0,1.0,173870.39,0
25480,551,germany,female,30.0,8,108431.87,2,1.0,0.0,109291.22,0
55540,581,france,male,29.0,0,0.0,2,1.0,0.0,193160.25,0
87239,669,france,female,29.0,7,0.0,1,1.0,1.0,70774.97,0
80419,751,france,male,30.0,2,108913.84,1,0.0,1.0,183887.86,0
92618,705,france,male,42.0,5,0.0,2,1.0,0.0,1187.88,0
65295,628,spain,male,43.0,10,0.0,2,0.0,1.0,30662.91,0
18709,687,spain,male,41.0,4,126477.42,1,1.0,0.0,88566.9,0
49927,662,france,female,33.0,7,101440.36,1,0.0,1.0,63736.17,0
114224,706,spain,male,36.0,5,0.0,2,1.0,1.0,157891.86,0
14428,596,germany,female,28.0,4,110559.46,1,1.0,1.0,80552.11,0
103350,633,spain,female,38.0,1,0.0,2,1.0,0.0,97951.4,0
95747,539,france,male,34.0,2,0.0,2,1.0,0.0,86696.29,0
104450,729,spain,male,56.0,2,0.0,2,1.0,1.0,140130.22,0
42674,718,spain,female,44.0,7,133866.22,1,1.0,0.0,139049.24,0
41491,605,germany,male,38.0,4,70417.79,1,1.0,1.0,147822.44,0
30581,644,france,male,37.0,9,0.0,2,1.0,0.0,90547.58,0
40614,643,spain,male,29.0,7,139840.55,1,1.0,0.0,105568.29,0
436,592,germany,male,48.0,2,154741.45,1,1.0,1.0,143049.72,0
90724,691,france,male,38.0,10,0.0,2,0.0,0.0,49722.34,0
37107,695,france,male,41.0,7,101528.61,1,1.0,1.0,80552.36,0
17979,602,france,male,34.0,1,0.0,2,1.0,1.0,60553.49,0
14565,730,france,male,39.0,2,0.0,2,1.0,0.0,139049.06,0
14753,648,france,male,32.0,6,0.0,2,1.0,0.0,130260.11,0
57001,601,france,male,38.0,2,0.0,2,1.0,0.0,51554.58,0
71922,633,germany,female,37.0,7,120320.09,1,1.0,1.0,91829.17,0
110225,583,germany,female,38.0,3,120811.13,1,1.0,0.0,171768.76,0
29483,794,france,male,38.0,9,0.0,2,1.0,1.0,86610.5,0
39307,678,france,male,33.0,9,152763.41,1,0.0,1.0,24748.89,0
5877,479,france,female,38.0,10,0.0,2,0.0,1.0,116547.76,0
81670,567,france,male,37.0,2,0.0,2,1.0,1.0,91675.51,0
74455,495,france,male,39.0,1,0.0,2,1.0,0.0,94715.24,0
18619,695,france,female,29.0,0,109109.89,1,1.0,0.0,120770.8,0
36319,649,germany,female,24.0,7,101195.23,1,0.0,0.0,133091.32,0
79286,637,spain,male,37.0,6,133801.56,1,1.0,1.0,142670.63,0
3777,590,france,male,24.0,1,0.0,2,1.0,0.0,170968.99,0
52459,535,spain,female,38.0,5,0.0,1,1.0,0.0,135655.29,0
1808,691,spain,male,38.0,7,0.0,2,1.0,1.0,172363.21,0
48960,590,spain,male,41.0,4,0.0,2,0.0,1.0,25684.58,0
21462,678,spain,male,32.0,2,124586.93,1,1.0,1.0,181218.37,0
42383,709,germany,female,34.0,1,138847.1,1,1.0,0.0,143681.61,0
30719,721,france,female,38.0,8,0.0,2,1.0,1.0,183358.21,0
56934,656,france,female,36.0,7,0.0,1,1.0,1.0,57553.62,0
44501,680,france,female,39.0,7,0.0,2,1.0,0.0,138375.23,0
26665,653,france,male,35.0,9,104822.45,1,1.0,0.0,135851.3,0
58878,678,france,male,28.0,9,0.0,2,1.0,1.0,78744.39,0
98810,554,spain,male,37.0,3,0.0,1,1.0,1.0,1710.89,0
17731,727,france,male,41.0,2,0.0,2,1.0,1.0,104936.46,0
4984,599,spain,female,31.0,9,0.0,2,1.0,1.0,104722.56,0
94855,698,germany,male,24.0,6,114027.6,1,1.0,1.0,82314.29,0
107710,640,germany,female,39.0,7,131607.28,1,0.0,1.0,6981.43,0
33431,681,france,male,49.0,0,148363.38,2,1.0,0.0,182913.95,0
57419,678,germany,male,37.0,8,148610.41,2,1.0,1.0,104382.11,0
50334,732,germany,female,23.0,6,130142.79,2,1.0,1.0,67364.41,0
35368,589,spain,female,33.0,2,0.0,2,1.0,1.0,105783.73,0
46292,567,germany,female,37.0,1,131778.57,1,1.0,1.0,150422.35,0
52086,719,france,male,36.0,9,0.0,2,1.0,0.0,121408.01,0
93167,505,germany,male,31.0,1,134954.85,1,1.0,1.0,184954.11,0
79911,706,spain,female,24.0,7,0.0,2,1.0,1.0,113481.02,0
43606,645,france,female,46.0,1,0.0,2,1.0,0.0,171060.01,0
74786,652,spain,female,32.0,0,0.0,2,1.0,1.0,141872.05,0
11160,704,france,female,27.0,8,129735.3,2,1.0,1.0,179565.57,0
96883,710,france,female,35.0,6,0.0,2,0.0,1.0,134483.59,0
45698,565,germany,male,44.0,5,129502.49,2,1.0,1.0,86099.23,0
81098,670,spain,female,33.0,3,0.0,2,1.0,0.0,92878.73,0
3934,677,france,female,42.0,9,0.0,1,0.0,0.0,168650.4,0
856,684,france,female,41.0,9,0.0,2,1.0,0.0,188156.66,0
41078,601,france,female,43.0,2,0.0,1,1.0,1.0,49713.87,0
109159,626,spain,male,40.0,6,0.0,2,1.0,1.0,4595.05,0
92950,705,france,female,31.0,9,0.0,2,1.0,0.0,63544.16,0
20407,687,spain,female,21.0,9,0.0,2,1.0,1.0,154767.34,0
83965,545,france,male,35.0,8,96847.64,1,1.0,1.0,57553.97,0
43427,615,germany,male,29.0,3,129605.98,2,1.0,1.0,163657.08,0
94976,572,france,male,32.0,3,113736.53,1,0.0,0.0,173835.54,0
1412,619,france,female,23.0,1,0.0,2,0.0,1.0,72929.96,0
91135,713,france,female,33.0,1,81249.67,1,1.0,1.0,85411.66,0
46056,678,france,male,51.0,9,129055.99,1,0.0,0.0,111342.34,0
79899,794,spain,female,37.0,4,171913.87,2,1.0,0.0,9241.02,0
102961,513,france,male,44.0,1,63562.02,2,1.0,1.0,52629.73,0
88133,749,france,male,29.0,9,0.0,2,1.0,1.0,131702.78,0
41750,659,spain,male,33.0,8,0.0,2,1.0,1.0,121533.5,0
61281,573,france,female,29.0,1,206868.78,1,0.0,1.0,102986.15,0
86672,581,germany,male,33.0,8,139561.58,2,1.0,0.0,166737.06,0
109114,711,spain,male,37.0,9,139183.06,1,1.0,0.0,145562.4,0
80268,646,france,female,42.0,9,0.0,2,1.0,0.0,69361.67,0
48537,676,france,female,39.0,2,0.0,2,1.0,1.0,146835.31,0
71232,576,germany,female,39.0,3,126442.55,2,1.0,1.0,171060.05,0
84231,661,france,female,39.0,8,0.0,1,1.0,0.0,79871.02,0
38968,619,france,male,42.0,4,0.0,2,1.0,0.0,161519.5,0
76087,699,spain,female,49.0,2,0.0,1,0.0,0.0,105760.01,0
87850,544,germany,male,30.0,1,153663.27,2,0.0,1.0,157097.09,0
107886,744,france,female,44.0,9,0.0,2,1.0,1.0,189016.14,0
64006,677,spain,female,35.0,1,0.0,2,0.0,0.0,76637.38,0
74205,734,france,male,56.0,1,0.0,2,1.0,1.0,184843.77,0
36915,589,france,male,38.0,5,0.0,2,1.0,0.0,140958.41,0
57955,831,spain,female,44.0,10,0.0,1,1.0,0.0,47729.33,0
66621,687,spain,male,37.0,2,0.0,2,1.0,1.0,152290.28,0
92496,665,france,male,39.0,7,96645.54,2,0.0,0.0,171413.66,0
70315,637,france,male,41.0,10,0.0,2,1.0,1.0,51364.26,0
10409,588,germany,female,25.0,8,107541.06,1,1.0,1.0,142911.99,0
74788,646,spain,male,31.0,4,0.0,2,0.0,1.0,4497.55,0
66168,502,france,male,43.0,7,0.0,1,0.0,0.0,84663.21,0
42864,686,spain,male,42.0,6,93656.95,1,1.0,1.0,166440.32,0
67779,685,france,female,30.0,1,132667.17,1,1.0,0.0,41876.98,0
41933,645,france,male,34.0,9,102940.18,2,1.0,0.0,152295.84,0
35714,697,france,male,31.0,7,0.0,2,1.0,1.0,50299.14,0
58793,731,france,male,40.0,2,0.0,1,0.0,0.0,122865.55,0
71244,576,france,male,38.0,5,0.0,2,1.0,0.0,82796.29,0
52080,651,france,male,47.0,7,115488.52,1,0.0,1.0,167984.72,0
91336,793,france,female,39.0,9,0.0,2,0.0,1.0,61324.87,0
44027,673,france,female,49.0,9,0.0,2,1.0,1.0,142917.54,0
69279,593,france,male,28.0,5,0.0,2,1.0,0.0,168035.71,0
87373,667,spain,female,36.0,5,0.0,2,0.0,1.0,151481.79,0
64808,667,france,female,37.0,6,133811.78,1,1.0,0.0,62368.33,0
100561,845,france,male,37.0,9,0.0,2,1.0,1.0,160129.99,0
48945,607,germany,female,34.0,10,84906.45,2,1.0,0.0,131283.6,0
73875,757,france,male,38.0,3,139914.7,1,1.0,0.0,119348.57,0
101416,709,spain,female,37.0,8,0.0,2,1.0,0.0,71738.56,0
8889,779,france,male,32.0,3,0.0,2,0.0,1.0,143.34,0
32422,667,france,male,28.0,8,0.0,2,0.0,1.0,131873.66,0
103389,730,france,female,37.0,6,0.0,2,1.0,1.0,137058.96,0
46140,794,spain,male,30.0,8,0.0,2,1.0,1.0,24113.91,0
74839,629,spain,male,40.0,6,90194.34,2,1.0,1.0,62390.61,0
44381,613,spain,male,36.0,4,0.0,2,1.0,0.0,181419.29,0
57832,714,spain,male,21.0,4,122447.28,1,0.0,1.0,173631.08,0
50953,730,france,female,34.0,1,74197.38,1,1.0,0.0,96875.52,0
87379,678,france,female,44.0,4,166909.2,1,1.0,0.0,55868.97,0
104708,573,france,male,34.0,0,0.0,2,1.0,0.0,181224.79,0
41196,667,spain,female,37.0,1,0.0,2,1.0,0.0,4395.45,0
98223,775,germany,female,42.0,8,135296.33,1,1.0,0.0,198193.75,0
8743,530,france,female,29.0,1,0.0,2,0.0,0.0,121451.21,0
66585,673,france,male,34.0,1,0.0,2,1.0,0.0,87412.79,0
49684,662,spain,female,36.0,1,0.0,2,1.0,0.0,104786.59,0
112459,642,france,female,41.0,2,0.0,2,1.0,1.0,180890.4,0
19600,612,france,male,41.0,2,0.0,2,1.0,1.0,170518.57,0
81763,712,france,male,22.0,8,0.0,1,1.0,1.0,180712.28,0
19380,658,germany,male,40.0,5,100082.14,2,1.0,1.0,91633.53,0
15437,733,france,male,33.0,3,0.0,2,1.0,0.0,141175.74,0
90804,544,france,female,36.0,2,126547.12,2,1.0,1.0,149862.28,0
54340,683,france,female,39.0,7,175575.95,1,1.0,1.0,47832.82,0
114030,719,spain,male,28.0,1,0.0,2,1.0,0.0,166677.54,0
45117,683,france,female,37.0,7,0.0,1,1.0,0.0,72350.47,0
66900,705,france,male,36.0,2,0.0,2,1.0,1.0,63405.2,0
108588,743,germany,female,45.0,7,146777.44,2,0.0,1.0,150835.21,0
50352,601,france,female,41.0,3,0.0,2,0.0,1.0,160607.06,0
87397,761,france,female,38.0,9,0.0,2,1.0,1.0,332.81,0
75547,651,france,male,40.0,1,0.0,2,1.0,1.0,111249.85,0
81597,695,france,female,35.0,5,0.0,2,1.0,0.0,145580.43,0
87291,696,spain,male,38.0,3,0.0,2,1.0,0.0,179913.94,0
10367,571,france,male,27.0,8,0.0,2,1.0,1.0,103711.42,0
102692,706,spain,female,44.0,6,146033.62,1,0.0,1.0,133871.83,0
27934,515,france,female,28.0,2,81550.94,1,0.0,0.0,94141.75,0
103471,678,france,female,30.0,1,79523.13,1,1.0,1.0,60917.24,0
32951,644,france,female,27.0,8,139542.82,1,1.0,0.0,103660.31,0
775,681,france,female,32.0,10,0.0,2,1.0,0.0,151871.84,0
97129,539,spain,male,39.0,2,0.0,2,1.0,0.0,167553.06,0
31781,611,france,male,34.0,7,0.0,1,0.0,0.0,74593.84,0
37221,611,france,male,26.0,6,0.0,2,0.0,0.0,156598.23,0
46397,422,spain,female,34.0,4,0.0,2,1.0,1.0,7166.71,0
27276,654,france,female,40.0,7,0.0,2,1.0,0.0,98090.69,0
32132,605,spain,male,37.0,9,0.0,2,1.0,0.0,63562.98,0
73603,696,france,male,34.0,5,145537.6,1,1.0,0.0,169964.45,0
57047,682,france,male,28.0,6,0.0,2,1.0,1.0,175082.5,0
45336,627,france,female,35.0,7,0.0,1,1.0,1.0,179565.57,0
40662,624,france,male,38.0,8,0.0,1,1.0,0.0,121081.48,0
48188,668,france,female,27.0,7,140453.91,1,1.0,0.0,129001.3,0
34696,669,france,male,35.0,3,0.0,1,1.0,0.0,177719.88,0
91474,652,france,male,35.0,3,0.0,2,1.0,1.0,184312.75,0
91206,596,france,male,37.0,5,0.0,2,0.0,0.0,153954.45,0
68516,698,spain,female,31.0,8,185078.26,1,0.0,0.0,115337.74,0
87498,754,spain,male,38.0,9,97338.19,2,1.0,1.0,97794.71,0
106586,781,germany,male,29.0,9,120124.35,2,0.0,0.0,172097.4,0
27589,579,france,male,39.0,5,0.0,2,0.0,1.0,169952.82,0
93521,549,germany,male,34.0,9,114512.59,1,0.0,1.0,73656.38,0
73188,791,france,female,30.0,6,0.0,2,0.0,1.0,139919.38,0
40658,636,france,male,46.0,8,0.0,2,0.0,0.0,115136.51,0
20574,685,spain,female,34.0,8,105842.2,2,0.0,0.0,86767.48,0
31625,667,germany,female,39.0,2,0.0,2,1.0,1.0,149946.43,0
21013,729,france,male,34.0,1,0.0,1,1.0,0.0,65565.92,0
75669,589,germany,male,29.0,6,97286.16,1,1.0,0.0,85421.48,0
91030,774,france,male,29.0,1,141604.55,1,1.0,1.0,107468.75,0
115042,543,france,male,50.0,7,0.0,2,1.0,0.0,177624.01,0
49671,601,germany,male,25.0,7,118098.85,2,1.0,1.0,168820.28,0
36466,705,spain,female,45.0,3,0.0,2,1.0,0.0,100950.66,0
68979,659,germany,female,36.0,6,71142.77,2,1.0,0.0,122433.09,0
9120,588,france,female,41.0,8,0.0,2,1.0,1.0,91406.62,0
14522,798,france,male,31.0,8,0.0,1,1.0,1.0,59650.42,0
114141,697,spain,female,40.0,2,0.0,2,1.0,0.0,143668.44,0
5548,719,france,male,52.0,6,0.0,2,0.0,0.0,171928.04,0
2843,498,spain,male,50.0,2,0.0,1,0.0,1.0,10054.72,0
62993,611,france,male,42.0,3,0.0,2,1.0,0.0,177638.21,0
19994,710,france,male,34.0,5,139834.4,1,1.0,1.0,180622.01,0
47925,742,france,male,37.0,5,109471.79,1,1.0,0.0,135083.72,0
5210,607,france,female,30.0,8,139561.46,1,1.0,0.0,48988.28,0
105576,724,spain,male,37.0,1,0.0,2,1.0,1.0,148560.4,0
63787,707,france,male,32.0,6,106397.75,2,0.0,1.0,103563.23,0
34407,733,france,female,27.0,1,77805.66,1,0.0,1.0,184317.74,0
93428,730,spain,male,42.0,4,0.0,2,1.0,0.0,85982.47,0
107661,639,spain,male,39.0,2,0.0,2,1.0,1.0,163584.25,0
7259,741,france,female,43.0,9,0.0,2,0.0,0.0,56885.57,0
54718,530,spain,male,63.0,1,141364.28,1,1.0,1.0,69608.14,0
44011,663,spain,female,38.0,2,61274.7,2,1.0,0.0,136054.45,0
58741,588,germany,female,35.0,8,75470.23,1,0.0,1.0,106841.12,0
34426,697,spain,male,31.0,5,129853.6,1,0.0,1.0,142963.43,0
33040,604,france,male,37.0,8,165413.43,1,1.0,1.0,187985.85,0
112432,678,spain,male,39.0,6,0.0,2,1.0,1.0,60928.48,0
22136,543,germany,female,38.0,4,133950.21,2,1.0,0.0,120551.36,0
51191,751,spain,male,22.0,8,115961.51,1,1.0,1.0,126551.49,0
56545,829,france,female,33.0,1,103457.76,1,0.0,1.0,1114.12,0
73956,850,france,female,46.0,7,0.0,2,1.0,0.0,183572.39,0
52075,612,spain,male,27.0,7,0.0,2,1.0,1.0,159891.03,0
19293,685,france,female,36.0,1,112281.6,1,1.0,1.0,142903.44,0
65404,621,france,male,40.0,4,0.0,2,1.0,0.0,125253.46,0
71543,714,spain,female,31.0,8,0.0,2,0.0,0.0,93524.19,0
108481,535,france,female,44.0,8,114427.86,1,1.0,1.0,136330.26,0
39327,700,france,male,37.0,9,0.0,2,1.0,0.0,17040.82,0
629,538,france,male,33.0,0,58662.92,2,1.0,1.0,73322.0,0
115384,613,germany,female,36.0,4,102772.67,1,1.0,1.0,134526.57,0
55769,581,france,female,43.0,7,94773.61,1,1.0,0.0,150390.53,0
38910,637,france,male,35.0,9,109166.37,1,1.0,0.0,59747.63,0
48336,696,france,female,32.0,1,0.0,2,0.0,0.0,145556.58,0
39841,712,germany,male,43.0,6,141749.74,1,1.0,0.0,90905.26,0
62660,650,france,male,29.0,8,0.0,2,1.0,0.0,19116.97,0
114554,551,spain,female,36.0,2,0.0,2,1.0,1.0,158420.14,0
37505,718,france,female,35.0,8,0.0,2,1.0,0.0,180195.4,0
88310,585,spain,male,31.0,3,138521.57,1,1.0,0.0,160523.33,0
84172,452,germany,female,35.0,8,98792.4,1,0.0,1.0,149614.81,0
56607,681,spain,female,36.0,8,0.0,2,1.0,0.0,186976.48,0
99405,528,france,male,36.0,1,0.0,2,1.0,0.0,44830.71,0
101697,608,france,male,57.0,9,127772.69,1,1.0,1.0,132468.56,0
89953,729,france,male,43.0,1,0.0,2,1.0,1.0,160129.99,0
16016,745,france,male,38.0,3,0.0,1,1.0,1.0,131852.01,0
114248,811,france,female,44.0,1,0.0,1,1.0,1.0,78439.73,0
35798,850,france,female,44.0,9,0.0,2,1.0,1.0,62989.82,0
88790,648,france,male,35.0,3,0.0,2,0.0,1.0,166650.67,0
46452,693,spain,male,47.0,2,0.0,2,0.0,0.0,82393.08,0
86635,718,france,male,27.0,3,161209.66,2,1.0,0.0,123882.31,0
6736,730,spain,female,28.0,9,0.0,2,1.0,1.0,119830.08,0
63159,588,spain,male,34.0,9,127637.35,1,1.0,0.0,151884.8,0
80312,696,france,female,59.0,5,0.0,2,1.0,1.0,175795.11,0
79726,628,france,female,40.0,7,147551.44,1,1.0,0.0,163598.33,0
19609,588,france,female,35.0,1,78737.61,1,1.0,0.0,13018.96,0
106004,632,germany,male,58.0,9,133379.41,1,1.0,1.0,121537.91,0
100681,575,spain,male,43.0,3,0.0,1,1.0,1.0,83594.51,0
67158,594,france,male,27.0,4,0.0,2,1.0,1.0,105791.02,0
62532,569,france,female,26.0,6,0.0,1,0.0,1.0,73881.68,0
62362,638,france,male,34.0,2,0.0,2,1.0,1.0,175853.64,0
17468,597,france,male,34.0,7,0.0,2,0.0,0.0,51358.66,0
93985,738,spain,male,30.0,7,90920.92,1,1.0,0.0,104220.5,0
9799,587,spain,male,35.0,5,0.0,2,0.0,1.0,170968.99,0
19972,633,germany,male,40.0,10,78829.53,2,1.0,0.0,144593.4,0
46965,526,spain,male,38.0,2,0.0,2,0.0,0.0,58010.98,0
58351,574,france,male,40.0,2,137430.82,1,0.0,1.0,161845.81,0
95248,669,france,female,37.0,0,127818.52,1,0.0,1.0,116781.71,0
88028,635,france,male,35.0,2,0.0,2,1.0,1.0,45422.35,0
16986,751,france,male,36.0,3,0.0,2,1.0,1.0,160139.55,0
111190,552,france,male,49.0,4,0.0,2,1.0,1.0,190296.76,0
28273,743,germany,female,26.0,8,105229.34,1,1.0,1.0,94811.77,0
83022,461,france,male,34.0,10,0.0,2,1.0,1.0,56767.67,0
108652,584,france,male,34.0,2,0.0,2,1.0,0.0,125979.19,0
108826,679,spain,male,35.0,4,0.0,2,1.0,1.0,52332.85,0
14459,685,germany,male,34.0,2,133871.05,2,1.0,0.0,120511.63,0
42038,613,spain,male,30.0,8,0.0,2,1.0,0.0,138870.75,0
26911,663,spain,male,22.0,5,0.0,2,1.0,0.0,158974.45,0
57939,619,france,male,24.0,9,0.0,1,1.0,0.0,131177.22,0
87940,727,france,male,19.0,3,0.0,2,1.0,0.0,122996.76,0
34331,691,france,female,38.0,5,108698.97,1,1.0,1.0,177783.06,0
1423,639,france,male,34.0,1,0.0,2,1.0,0.0,132468.69,0
80883,600,france,female,35.0,7,0.0,2,1.0,1.0,158068.95,0
113022,468,france,male,49.0,1,0.0,2,1.0,0.0,25684.93,0
81238,784,spain,female,39.0,6,0.0,2,1.0,1.0,42392.24,0
107939,678,spain,male,60.0,7,124483.53,2,0.0,1.0,126253.31,0
52430,638,spain,male,34.0,6,0.0,2,0.0,1.0,78560.64,0
18317,563,france,male,37.0,2,0.0,2,0.0,1.0,62851.6,0
55823,535,spain,female,19.0,7,0.0,1,1.0,0.0,59571.5,0
33532,636,germany,male,36.0,5,123953.33,2,1.0,1.0,161854.98,0
104586,549,france,male,32.0,1,103877.34,1,1.0,0.0,59553.47,0
74123,645,france,female,38.0,5,101430.3,2,1.0,1.0,4400.32,0
20848,757,spain,male,71.0,5,0.0,2,0.0,1.0,59249.83,0
108286,620,spain,male,21.0,9,0.0,2,1.0,0.0,154882.79,0
77896,693,germany,female,37.0,7,100260.88,2,1.0,0.0,94870.99,0
57710,699,spain,female,39.0,4,0.0,1,1.0,0.0,160162.42,0
10351,600,spain,male,27.0,6,0.0,2,1.0,1.0,172031.22,0
90056,734,germany,male,59.0,5,121418.62,1,0.0,0.0,94978.1,0
93799,646,france,male,43.0,5,0.0,2,1.0,0.0,92916.49,0
9068,713,france,female,38.0,4,0.0,2,1.0,0.0,39519.53,0
77800,612,france,male,38.0,3,136858.78,1,0.0,1.0,69080.46,0
82985,607,spain,male,34.0,2,0.0,2,1.0,1.0,85890.16,0
87800,679,spain,male,37.0,8,0.0,2,1.0,0.0,6071.71,0
18850,767,france,male,37.0,9,0.0,2,1.0,0.0,170526.72,0
26323,678,france,male,28.0,5,0.0,1,1.0,0.0,175893.53,0
105015,645,france,male,34.0,8,148045.64,1,1.0,1.0,35321.73,0
103818,605,france,male,32.0,9,0.0,2,1.0,0.0,125986.14,0
17448,693,france,male,33.0,9,99550.18,1,0.0,1.0,77552.96,0
90985,581,france,male,28.0,7,0.0,2,1.0,1.0,153566.97,0
39065,572,spain,male,40.0,7,119496.88,1,1.0,0.0,143022.31,0
65490,628,spain,female,31.0,5,0.0,1,1.0,0.0,90829.47,0
23191,659,france,male,34.0,7,0.0,2,0.0,1.0,25042.1,0
33142,477,france,male,36.0,3,0.0,1,1.0,0.0,126012.57,0
94482,707,france,male,25.0,3,127739.22,1,1.0,1.0,151301.49,0
70924,704,germany,female,34.0,9,96474.97,2,1.0,1.0,28698.17,0
41656,727,spain,female,35.0,6,0.0,1,1.0,0.0,125986.46,0
79777,741,germany,female,29.0,9,113150.44,2,1.0,1.0,194867.78,0
27544,709,france,male,30.0,5,0.0,2,0.0,1.0,161388.22,0
74186,652,germany,male,38.0,7,93522.2,1,1.0,1.0,184399.76,0
91109,639,germany,male,36.0,3,135536.4,1,1.0,1.0,176984.34,0
31069,744,spain,male,42.0,4,0.0,2,0.0,0.0,82422.97,0
92559,593,germany,female,62.0,3,118233.81,1,0.0,1.0,24765.53,0
80262,712,france,female,41.0,6,0.0,2,1.0,0.0,170333.38,0
78432,558,france,male,32.0,1,0.0,1,1.0,1.0,706.5,0
92747,528,germany,female,42.0,4,102765.2,1,1.0,1.0,28368.11,0
88751,652,spain,male,42.0,2,121542.39,1,1.0,1.0,172448.08,0
13819,805,spain,female,30.0,8,125884.95,2,1.0,1.0,54019.93,0
65330,554,germany,male,33.0,1,108348.66,2,1.0,0.0,158520.24,0
92745,693,france,female,50.0,3,134953.99,1,1.0,1.0,134960.47,0
73493,598,spain,female,40.0,4,129289.98,1,1.0,0.0,60936.01,0
13370,717,france,male,37.0,0,0.0,2,1.0,0.0,131097.9,0
47084,414,spain,male,60.0,2,0.0,2,1.0,1.0,93844.82,0
4270,588,france,female,40.0,4,0.0,2,1.0,0.0,180552.58,0
37934,696,germany,female,33.0,3,125927.49,1,1.0,0.0,175843.48,0
42631,554,france,female,31.0,4,0.0,2,1.0,0.0,172576.43,0
51478,672,france,male,44.0,6,0.0,2,0.0,1.0,55893.37,0
13592,668,france,female,32.0,3,0.0,2,0.0,1.0,102665.97,0
58241,804,france,female,34.0,7,0.0,2,1.0,1.0,98949.85,0
11887,673,germany,female,35.0,2,128793.63,1,1.0,1.0,66963.15,0
36391,684,france,male,29.0,2,0.0,2,1.0,0.0,140937.91,0
2901,624,france,male,25.0,3,0.0,2,1.0,1.0,52795.1,0
70465,569,france,male,51.0,2,0.0,1,1.0,1.0,91624.11,0
67987,652,france,female,36.0,7,0.0,2,1.0,0.0,145551.6,0
18137,665,france,male,38.0,1,0.0,1,1.0,0.0,77783.35,0
80306,724,france,male,44.0,6,117685.31,1,0.0,1.0,145561.9,0
56605,679,france,male,34.0,10,0.0,2,1.0,1.0,86619.77,0
98066,723,spain,male,32.0,9,0.0,2,0.0,1.0,79623.28,0
51118,635,germany,male,40.0,10,135983.08,2,0.0,0.0,85424.04,0
67068,739,spain,female,28.0,8,0.0,2,1.0,1.0,125918.67,0
37075,758,france,male,30.0,7,0.0,2,0.0,1.0,53412.08,0
28744,662,germany,male,35.0,3,123086.39,2,1.0,1.0,41042.4,0
21131,716,spain,male,59.0,2,149961.18,1,1.0,1.0,179814.4,0
655,550,france,male,39.0,7,75263.16,1,1.0,0.0,85801.77,0
27333,616,spain,male,33.0,3,0.0,2,0.0,1.0,50771.23,0
97303,619,france,female,41.0,6,0.0,1,1.0,1.0,151317.27,0
113406,684,france,female,42.0,2,0.0,2,1.0,1.0,128882.66,0
79882,518,spain,female,38.0,8,0.0,2,0.0,0.0,173783.38,0
35174,683,spain,male,45.0,0,0.0,1,1.0,0.0,175123.09,0
102778,712,france,male,34.0,1,0.0,2,1.0,0.0,116973.48,0
89756,699,france,male,34.0,2,0.0,2,1.0,0.0,121365.37,0
59123,528,spain,male,35.0,10,0.0,1,1.0,1.0,55972.56,0
27760,772,france,female,35.0,3,0.0,1,0.0,0.0,25448.31,0
